"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.655692000E0,9.430389404E-2,5.463638306E-2,9.823172607E0,9.823777198E0
1.665734000E0,8.427474976E-2,6.077362061E-2,9.821526031E0,9.822075608E0
1.675777000E0,9.924362183E-2,7.170089722E-2,9.816735992E0,9.817499471E0
1.685820000E0,8.936416626E-2,7.948471069E-2,9.820029144E0,9.820757413E0
1.695862000E0,9.789642334E-2,6.780899048E-2,9.818831635E0,9.819553780E0
1.705905000E0,8.891510010E-2,6.421646118E-2,9.822124786E0,9.822737142E0
1.715948000E0,8.741821289E-2,7.858657837E-2,9.815239105E0,9.815942975E0
1.725990000E0,8.322692871E-2,7.649093628E-2,9.826765137E0,9.827415257E0
1.736033000E0,9.205856323E-2,7.080276489E-2,9.817035370E0,9.817722305E0
1.746076000E0,1.067280579E-1,7.514373779E-2,9.821226654E0,9.822093995E0
1.756118000E0,1.028361511E-1,6.900650024E-2,9.830357666E0,9.831137727E0
1.766161000E0,8.083190918E-2,5.867797852E-2,9.825567627E0,9.826075315E0
1.776204000E0,1.113684082E-1,7.274871826E-2,9.811197510E0,9.812099259E0
1.786246000E0,9.699829102E-2,6.706054688E-2,9.825717316E0,9.826424912E0
1.796289000E0,9.205856323E-2,6.616241455E-2,9.819280701E0,9.819935118E0
1.806332000E0,7.993377686E-2,6.256988525E-2,9.804611206E0,9.805136679E0
1.816374000E0,1.059796143E-1,4.924758911E-2,9.807904358E0,9.808600558E0
1.826417000E0,9.250762939E-2,6.032455444E-2,9.817334747E0,9.817955910E0
1.836460000E0,1.008901978E-1,6.526428223E-2,9.801318054E0,9.802054573E0
1.846502000E0,9.235794067E-2,6.945556641E-2,9.808952179E0,9.809632863E0
1.856545000E0,9.819580078E-2,6.451583862E-2,9.823172607E0,9.823875243E0
1.866588000E0,1.007405090E-1,5.733078003E-2,9.799821167E0,9.800506639E0
1.876630000E0,8.637039185E-2,6.346801758E-2,9.805958405E0,9.806544155E0
1.886673000E0,8.068222046E-2,6.975494385E-2,9.810149689E0,9.810729447E0
1.896716000E0,1.001417542E-1,6.421646118E-2,9.825268250E0,9.825988413E0
