"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.250286583E0,2.184996910E-2,2.362205688E-2,3.005527318E-2,4.403114996E-2
2.260329583E0,1.343312372E-2,2.715609575E-2,1.608867234E-1,1.637145080E-1
2.270372583E0,-1.592015010E-2,3.534646430E-2,4.861901343E-2,6.218224976E-2
2.280416583E0,1.948095826E-3,4.077461732E-2,-3.670414209E-2,5.489588820E-2
2.290459583E0,9.926744923E-4,2.577276330E-2,1.020584714E-1,1.052670524E-1
2.300502583E0,-1.813700543E-2,1.519196162E-2,1.071496421E-1,1.097305448E-1
2.310545583E0,-7.454188114E-3,3.225871417E-2,-5.286643088E-2,6.237827405E-2
2.320588583E0,7.896664739E-4,2.765412320E-2,-2.143179953E-2,3.499565879E-2
2.330632583E0,1.368234758E-3,9.334001709E-3,5.730739117E-2,5.807867712E-2
2.340675583E0,-5.311105920E-3,1.499430746E-2,-3.669537127E-2,3.999484185E-2
2.350718583E0,5.574769664E-3,8.659022888E-3,-9.821626604E-2,9.875470444E-2
2.360761583E0,9.527951111E-3,-3.614584263E-3,-1.468762100E-2,1.787661272E-2
2.370804583E0,4.047374153E-3,-6.664491948E-3,2.842390001E-2,2.947396787E-2
2.380848583E0,-6.252493935E-3,1.094555830E-2,-9.881092787E-2,9.961173823E-2
2.390891583E0,1.209451562E-2,2.151532335E-2,-9.671353161E-2,9.981329392E-2
2.400934583E0,2.409619298E-2,1.429650622E-2,2.453725576E-2,3.724370452E-2
2.410977583E0,-6.370365580E-3,1.048062243E-2,-2.785379648E-2,3.043450316E-2
2.421021583E0,-7.391460738E-3,2.862644208E-2,-1.182663685E-1,1.219058686E-1
2.431064583E0,9.837140911E-3,2.711594182E-2,-7.346441746E-3,2.976598476E-2
2.441107583E0,-4.198456155E-3,1.032983735E-2,3.022542715E-2,3.221659542E-2
2.451150583E0,-1.338187607E-2,2.378388771E-2,-5.345173717E-2,6.001529911E-2
2.461193583E0,1.303029167E-3,3.638584343E-2,-5.030885875E-2,6.210160027E-2
2.471237583E0,9.068083588E-3,3.311257211E-2,7.932274282E-2,8.643361672E-2
2.481280583E0,9.035049104E-3,3.834270551E-2,3.546394765E-2,5.300459189E-2
2.491323583E0,1.390902540E-2,3.472157054E-2,-2.920099497E-2,4.745257164E-2
2.501366583E0,3.222598575E-2,2.753544300E-2,2.693286002E-2,5.022045128E-2
2.511409583E0,1.061556520E-2,2.245780315E-2,1.237832165E-1,1.262510508E-1
2.521453583E0,-3.690552386E-4,1.745185565E-2,3.965874016E-2,4.333034893E-2
